Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
1560;2.136313;1.724164;2.426760;2.095327;2.167633
1570;1.761864;1.998679;2.207664;1.863550;1.831767
1580;1.831606;1.701892;1.828334;2.092389;1.776354
1590;2.311580;2.098271;1.819482;1.974330;1.962320
1600;2.200365;2.020344;1.839017;1.866034;1.949988
1610;1.917282;1.761583;2.072788;1.759553;1.942736
1620;1.914839;2.042242;2.012159;1.702382;1.678686
1630;1.858610;2.228808;2.019595;1.969354;1.673315
1640;2.146994;2.039571;1.764518;1.789920;2.014361
1650;1.668087;1.694715;1.715755;1.674683;1.859661
1660;1.874922;1.991479;1.826309;1.919022;1.843180
1670;1.422987;1.852202;1.782331;1.750487;1.957603
1680;1.574490;1.877204;2.305801;1.873978;1.747217
1690;1.871037;1.795126;1.749482;1.841043;1.664961
1700;2.100797;1.913069;1.276066;1.672554;1.462992
1710;2.061090;1.822561;1.763819;1.291661;1.716435
1720;1.814162;1.604583;1.505988;1.990857;1.738620
1730;1.718837;1.636943;1.625484;1.403912;1.740988
1740;1.843574;1.799173;1.723856;1.751136;1.505643
1750;1.949629;1.805906;1.793664;1.607486;1.647054
1760;1.450025;1.978281;1.683502;1.639340;1.595909
1770;1.596579;1.928100;1.350494;1.366172;1.432658
1780;1.595991;1.796949;1.372544;1.558992;1.531846
1790;1.522971;1.505337;1.694182;1.517070;1.506396
1800;1.693966;1.735035;1.559658;1.420743;1.300413
1810;1.508156;1.285851;1.454532;1.693658;1.474690
1820;1.595840;1.566436;1.281721;1.364322;1.612436
1830;1.499668;1.527436;1.737599;1.432290;1.429874
1840;1.764024;1.706324;1.500007;1.579319;1.498268
1850;1.174922;1.303894;1.518856;1.390406;1.813130
1860;1.734792;1.483368;1.594160;1.669438;1.501303
1870;1.409909;1.590992;1.335808;1.462705;1.295198
1880;1.315385;1.936398;1.444557;1.566392;1.235899
1890;1.359761;1.180573;1.546929;0.996466;1.154628
1900;1.604371;1.374057;1.124521;1.720332;1.247359
1910;1.111893;1.481359;1.457986;1.459898;1.483998
1920;1.603859;1.596646;1.545782;1.540582;1.386447
1930;1.578931;1.210148;1.982333;1.331540;1.666450
1940;1.227175;1.333187;1.264839;1.636307;1.402239
1950;1.339097;1.191138;1.153832;1.508803;1.478009
1960;1.458739;1.169402;1.451813;1.351631;0.991685
1970;1.302943;1.449103;1.016368;1.167095;1.379884
1980;1.400872;1.045500;1.129609;1.387014;1.333552
1990;1.287208;1.609190;1.330570;1.182282;1.633335
2000;1.332653;1.607590;1.476912;1.049590;1.118536
2010;1.458772;0.799990;1.329164;1.570639;1.279284
2020;1.314649;1.187727;1.081933;1.174088;1.237566
2030;1.236316;1.242856;1.148841;1.265686;1.216297
2040;0.988211;1.255305;1.219626;1.461260;1.341964
2050;1.405484;1.002303;1.269116;1.063290;1.377001
2060;1.165806;1.112473;1.415465;1.449592;1.214728
2070;1.550094;1.461757;1.233145;1.383087;1.126330
2080;1.176531;1.038430;0.950218;1.256177;1.151392
2090;1.099967;1.242722;1.175482;1.122409;0.923424
2100;0.916655;1.151747;0.823571;1.109974;1.040255
2110;1.194727;0.944668;0.902017;1.209168;1.389814
2120;0.954297;1.000665;1.069890;1.285311;1.246098
2130;1.125244;1.062562;1.493783;1.009324;0.926427
2140;1.038878;0.787625;0.758670;1.108883;0.994077
2150;0.859830;0.871281;0.996401;1.365167;1.084771
2160;1.106705;1.325338;1.070857;0.825451;0.993973
2170;1.007494;0.850960;1.139812;1.128814;0.980740
2180;1.091628;1.108690;1.263768;1.008872;1.104445
2190;0.903969;1.343102;1.163700;1.129633;1.014526
2200;1.036369;0.637804;1.097323;0.749489;0.685696
2210;1.187428;1.190550;0.791844;1.006953;1.040666
2220;0.867364;0.984826;0.651838;1.140433;1.152551
2230;0.881350;0.873647;0.807440;0.968059;1.057999
2240;0.718408;0.882030;0.969118;1.003378;0.910069
2250;0.981646;1.016875;0.905782;1.041003;0.793438
2260;0.804446;0.792645;0.878185;0.822805;1.324499
2270;0.856977;0.995750;0.916222;0.882231;0.631082
2280;1.128724;0.851632;0.841651;0.929695;0.729940
2290;1.056821;0.742932;0.967685;0.631356;1.108457
2300;0.995283;1.000977;1.066489;0.820991;0.546638
2310;0.616183;0.971169;0.889561;0.987720;0.731946
2320;1.035901;0.896665;0.856311;0.794437;0.882511
2330;0.990238;1.031753;1.042390;0.654050;0.989996
2340;0.784455;0.926306;0.598356;0.981848;0.831370
2350;0.898803;0.668672;0.738994;1.239855;0.590510
2360;0.692115;0.661048;0.762922;1.002095;0.549911
2370;0.985792;0.754813;0.677172;0.856152;0.926931
2380;0.858902;1.002651;0.913163;0.931199;0.831094
2390;1.060337;1.121459;0.796157;0.975668;0.847989
2400;0.814390;1.060999;0.938853;0.838057;0.672541
2410;0.831037;0.878608;1.170526;0.643233;0.982808
2420;0.605508;0.960596;0.740713;0.657679;0.748323
2430;0.534226;0.517637;0.730761;0.621262;0.946520
2440;0.684491;0.978650;0.721436;0.856594;0.814100
2450;0.969455;0.834818;0.849969;0.603973;0.719559
2460;1.066737;0.727192;0.821275;0.803335;0.710159
2470;0.580209;0.724106;0.765892;0.869242;0.841137
2480;0.650969;0.776612;0.838528;1.024592;1.006203
2490;0.649836;1.077861;0.708577;0.755144;0.885560
2500;0.420908;0.645769;0.538283;0.579584;0.534783
2510;1.037403;0.960603;0.959485;0.703322;1.025205
2520;0.985785;0.657628;0.756953;0.540335;0.676142
2530;0.818742;0.396255;0.643409;0.709383;0.558946
2540;0.544689;0.570121;0.604520;0.675577;0.523278
2550;0.850213;0.511168;0.784043;0.405362;0.420832
2560;0.648240;0.875536;0.870773;0.816570;0.557735
2570;0.505785;0.537922;0.759114;0.428576;0.761729
2580;0.635643;0.664501;0.681536;0.687667;0.700637
2590;0.938839;0.254629;0.593388;0.430392;0.688002
2600;0.548913;0.637821;0.790888;0.985160;0.544898
2610;0.539450;0.637140;0.813372;0.893818;0.945194
2620;0.845720;0.686658;0.633631;0.365173;0.347500
2630;0.668236;0.855839;0.733079;0.539027;0.644760
2640;0.646285;0.695646;0.514004;0.717413;0.776239
2650;0.464594;0.697583;0.364078;0.606175;0.846544
2660;0.782422;0.229068;1.054413;0.754868;0.391279
2670;0.568617;1.055082;0.581741;0.986782;0.687073
2680;0.423380;0.657487;0.638172;0.725239;0.590609
2690;0.675765;0.794836;0.411717;0.318684;0.765975
2700;0.184780;0.841114;0.310415;0.881437;0.519563
2710;0.613205;0.690105;0.384081;0.539188;0.661412
2720;0.395196;0.720326;0.281148;0.494302;0.246499
2730;0.485710;0.667834;0.601110;0.589067;0.487356
2740;0.404087;0.441379;0.545072;0.700233;0.646571
2750;0.483756;0.780455;0.785564;0.539050;0.680338
2760;0.238548;0.526073;0.330954;0.543069;0.586795
2770;0.719046;0.487947;0.460751;0.536523;0.668105
2780;0.763636;0.430688;0.430644;0.467921;0.572879
2790;0.596415;0.648198;0.368599;0.744193;0.435553
2800;0.247849;0.477988;0.654415;0.700076;0.609356
2810;0.262715;0.726228;0.231071;0.607804;0.650883
2820;0.752303;0.604242;0.210326;0.405058;0.642736
2830;0.944125;0.273234;0.585658;0.397404;0.522452
2840;0.295325;0.486572;0.597902;0.460185;0.231653
2850;0.634831;0.406029;0.379523;0.491258;0.552853
2860;0.304550;0.804109;0.293401;0.347575;0.560478
2870;0.486529;0.523479;0.493401;0.832121;0.259423
2880;0.625706;0.552596;0.759378;0.175942;0.545169
2890;0.536726;-0.113150;0.639878;0.458318;0.632651
2900;0.573683;0.561321;0.506316;0.658720;0.432082
2910;0.052713;0.452961;0.424619;0.182847;0.476092
2920;0.310593;0.309132;0.503638;0.344482;0.578281
2930;0.482143;0.422510;0.537614;0.695219;0.421947
2940;0.403398;0.534498;0.492603;0.656331;0.365571
2950;0.540245;0.585577;0.435268;0.668253;0.444257
