Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD]
2300;3.931333;4.209621;4.298967
2310;4.248802;4.261978;3.978486
2320;4.056474;4.356275;3.964567
2330;3.937361;3.886146;3.818107
2340;4.187321;4.148492;4.434632
2350;3.875888;4.052333;3.941535
2360;4.614094;4.549773;4.348485
2370;3.832518;3.972563;3.906544
2380;4.031460;3.894356;4.198891
2390;4.030039;4.132250;3.888173
2400;3.827672;3.877154;3.786305
2410;4.185616;4.292179;4.216855
2420;4.018506;4.336012;4.305892
2430;4.388992;3.992427;4.148717
2440;3.881725;3.884190;4.390825
2450;3.911300;4.241481;3.731747
2460;4.144299;3.630631;3.950153
2470;3.931940;3.821471;4.189578
2480;4.454747;4.209429;4.206563
2490;3.977047;4.159552;4.151276
2500;4.238878;4.099239;3.903264
2510;4.084875;4.211374;3.638199
2520;3.872601;3.955774;4.197294
2530;3.661770;4.164997;4.873664
2540;4.247210;4.127352;4.191075
2550;3.894818;3.729587;3.870549
2560;4.146821;3.974252;3.919171
2570;4.215346;3.835908;3.899065
2580;3.908855;4.143708;3.851770
2590;3.984340;3.971020;3.971558
2600;4.526186;4.048635;4.150692
2610;3.784331;3.667410;4.015029
2620;4.152201;3.923260;3.941996
2630;4.029848;3.943994;4.016862
2640;4.297629;3.958996;4.152950
2650;3.875395;4.262228;4.460180
2660;4.146369;4.062704;4.100956
2670;4.094427;4.021221;3.670537
2680;4.188304;3.919025;3.943792
2690;4.017033;4.247717;3.848039
2700;4.083856;3.925048;3.806003
2710;4.061564;3.938843;3.975884
2720;4.004515;4.192673;4.258058
2730;3.607938;4.440053;4.159011
2740;3.900021;4.070784;4.237186
2750;4.121164;3.914692;3.783734
2760;3.971108;4.407342;3.754420
2770;4.145411;3.620625;3.372320
2780;4.310568;4.091365;4.000556
2790;4.076000;4.028816;3.996312
2800;3.998057;4.209353;4.061298
2810;3.758273;3.993571;4.286502
2820;4.065333;3.937624;3.779921
2830;3.945580;3.912608;4.024792
2840;4.006492;4.531862;3.625023
2850;3.811865;4.073769;4.396890
2860;4.067659;3.376248;4.312038
2870;4.137965;3.693318;4.169639
2880;4.075608;3.927099;3.836649
2890;4.091707;4.166466;3.828350
2900;4.047163;3.886833;4.068981
2910;3.578134;4.398160;4.214394
2920;4.101733;4.146504;4.242641
2930;3.966477;3.627519;3.948871
2940;3.915718;3.840231;4.168041
2950;3.606641;3.787150;3.918060
2960;4.076461;4.194089;3.879853
2970;4.315945;3.471711;3.838088
2980;4.560828;3.410227;3.895166
2990;4.237136;4.072913;3.726858
3000;3.872316;3.942499;3.708110
3010;4.047645;4.256878;3.556634
3020;4.157133;4.426999;4.371945
3030;3.897399;3.783786;3.879061
3040;3.812303;4.431095;4.270798
3050;3.771503;3.806505;4.157972
3060;3.882113;3.794753;3.838987
3070;4.201771;3.558018;3.937671
3080;3.654760;4.278652;4.132496
3090;3.531390;3.825298;3.689177
3100;4.043717;4.036067;3.842796
3110;3.972859;3.724287;4.363773
3120;3.879013;3.971449;4.224239
3130;4.229509;3.889584;4.103697
3140;4.154233;4.067239;3.950892
3150;3.956117;4.198961;4.216240
3160;4.228849;3.824598;3.865507
3170;3.567710;4.001156;4.255484
3180;4.016524;3.652440;4.121521
3190;3.931048;3.967630;4.243219
3200;3.510932;4.133599;4.210951
3210;3.837106;3.577882;3.677790
3220;4.205312;3.658915;4.441360
3230;3.854154;3.971204;3.749305
3240;4.098933;4.413937;4.130220
3250;3.799149;3.834668;4.266554
3260;4.301866;4.278856;3.818181
3270;4.053537;4.115962;3.886522
3280;3.754351;4.085105;4.156955
3290;4.126315;4.093152;4.196371
3300;4.042508;4.043233;4.051187
3310;4.055918;3.869129;4.121291
3320;4.006802;3.907234;3.873419
3330;4.226059;4.081465;4.056886
3340;3.934116;3.980878;3.777997
3350;3.749312;4.103778;4.196870
3360;3.512269;3.938627;3.685674
3370;4.076730;4.154258;3.897320
3380;3.617327;4.078405;4.284072
3390;3.988517;4.100428;3.938803
3400;4.099412;3.730477;3.956318
3410;3.809847;3.712877;4.087515
3420;3.919399;4.074196;4.178552
3430;3.729392;3.789597;4.058598
3440;3.922862;3.993279;4.022344
3450;3.958963;4.170994;4.148497
3460;3.543696;3.777350;4.135758
3470;4.011261;4.040638;4.281047
3480;3.812310;3.801967;3.999368
3490;4.018561;4.085425;4.120344
3500;3.930394;4.123936;3.735396
3510;3.776380;3.926664;4.008394
3520;4.480758;4.108384;4.110870
3530;4.121595;3.942342;3.898477
3540;3.768531;4.391309;4.480260
3550;4.013054;4.092704;3.803068
3560;3.963967;3.976921;3.969706
3570;3.606263;4.035703;3.814068
3580;3.768165;4.300052;4.250901
3590;4.173010;3.935048;3.922360
3600;3.896752;3.805878;3.807718
