Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
1020;5.576105;5.257866;5.405600;5.105396;5.179080
1030;5.318418;5.238021;5.280978;5.161701;4.973749
1040;5.306978;4.894633;5.180118;4.942889;5.210007
1050;5.090394;5.207493;5.092245;5.432903;4.633436
1060;5.219054;5.055239;4.810618;4.971502;4.678016
1070;4.951634;4.391312;4.547618;5.001464;4.764481
1080;4.861329;4.831560;4.841874;4.820248;4.940881
1090;4.868865;4.826835;4.787723;5.011889;4.542747
1100;4.816054;4.688031;4.850539;4.926515;4.736370
1110;4.761300;4.331700;4.725172;4.912060;4.573692
1120;4.741338;4.826734;4.750110;4.528659;4.826739
1130;4.773557;4.541863;4.463973;4.419019;4.579806
1140;4.638676;4.427444;4.551184;4.458347;4.891374
1150;4.535805;4.296928;4.349292;4.343825;4.269833
1160;4.540124;4.638944;4.453561;4.216492;4.591375
1170;4.803163;4.287308;4.561411;4.257865;4.302471
1180;4.370398;4.327994;4.351735;4.704470;4.143688
1190;4.393562;4.325322;4.560475;4.277885;3.921105
1200;4.621423;4.171892;3.988606;4.236529;4.561093
1210;4.435969;4.233323;4.511653;4.250099;4.166380
1220;4.269059;4.314267;3.840419;4.185528;4.083457
1230;4.218705;4.395301;4.242680;4.122082;4.094188
1240;4.210754;4.061310;4.128417;4.341598;4.056021
1250;4.107569;3.579067;3.749113;3.856540;4.285105
1260;3.995024;3.822152;3.973970;3.885650;3.759963
1270;4.168279;3.684844;3.857506;3.863392;4.061105
1280;4.091843;3.640632;4.076016;3.987908;3.936711
1290;4.110516;3.671428;3.966701;3.806794;4.201557
1300;3.907622;3.772692;3.834683;4.008342;3.657332
1310;3.898570;3.517253;3.785085;3.857834;3.682030
1320;3.877234;3.777730;3.760448;3.867867;3.735426
1330;3.925209;3.925777;3.893429;3.752213;3.892840
1340;3.990385;3.591467;3.614751;3.640440;3.675634
1350;3.910417;3.694967;3.530823;3.853747;3.254531
1360;3.392372;3.630719;3.422510;3.525569;3.541727
1370;3.400149;3.385919;3.528498;3.793516;3.549974
1380;3.622431;3.515122;3.795244;3.835913;3.502479
1390;3.693121;3.433118;3.632120;3.421987;3.715217
1400;3.468462;3.808395;3.278869;3.463931;3.697054
1410;3.450079;3.362301;3.338558;3.294938;3.296395
1420;3.407464;3.399593;3.574436;3.317541;3.522194
1430;3.299663;3.335875;3.378538;3.328231;3.133844
1440;3.709351;3.377055;3.378590;3.530449;3.425697
1450;3.473904;3.379089;3.656023;3.379063;3.446335
1460;3.360735;3.242876;3.666001;3.157698;3.619383
1470;3.359153;3.282276;3.218694;3.323975;3.583946
1480;3.181583;3.061000;3.097355;3.299236;3.357004
1490;3.212467;3.460888;3.401849;3.106061;3.039020
1500;3.422290;3.134104;3.129848;3.508460;3.224164
1510;3.328532;3.302840;3.096689;3.279921;3.052333
1520;3.120144;3.503271;2.725709;3.200973;3.239112
1530;2.817027;3.511080;3.032346;3.163759;3.296373
1540;3.387824;2.901801;3.506379;3.177225;3.056391
1550;2.954990;3.198011;3.589388;2.990823;3.262514
1560;3.136442;2.984215;2.887083;2.907307;3.235524
1570;3.559564;3.115038;2.912172;2.999431;3.169731
1580;3.136907;2.827927;3.084033;2.838943;3.061765
1590;2.961964;3.075719;2.575381;2.936809;2.825571
1600;2.889647;2.842015;3.027916;3.001479;2.895524
1610;3.263546;3.059219;3.208956;3.087592;3.165019
1620;3.014734;2.809128;3.086491;3.086766;2.781406
1630;2.762568;3.056998;2.516958;3.196050;3.327317
1640;2.979230;2.753189;2.587238;2.943390;3.006775
1650;3.027517;3.037266;2.743420;3.042326;3.024917
1660;2.983109;2.913786;2.825643;2.850071;2.891054
1670;3.002668;2.483515;2.782364;3.006575;3.042627
1680;2.805935;2.361265;3.221425;2.831434;2.789320
1690;2.621569;2.792793;2.731769;2.803266;2.623326
1700;2.994283;2.788902;2.896828;2.540929;3.093769
1710;2.820642;2.656556;2.858053;2.718211;2.857165
1720;2.549724;2.811837;2.854813;2.928751;2.409610
1730;2.941382;2.881808;2.810988;2.641065;2.614336
1740;2.883029;2.626697;2.666866;2.648581;3.100083
1750;2.595117;2.698911;2.829156;2.636971;3.053533
1760;2.423708;2.769976;2.702850;2.534921;2.645343
1770;2.574205;2.639787;2.704538;3.129576;2.969960
1780;2.837336;2.450403;3.070117;2.589355;2.615914
1790;2.734653;2.369047;2.338066;2.339553;2.596681
1800;2.557249;2.409333;2.936045;2.559208;2.988293
1810;2.519208;2.576123;2.744880;2.603804;2.144726
1820;2.648231;2.482225;2.733537;2.617095;2.397592
1830;2.351027;2.791714;2.510765;2.734246;2.730576
1840;2.789112;2.855108;2.497666;2.920644;2.377228
1850;2.533291;2.840144;2.703213;2.651513;2.627529
1860;2.486230;2.567394;2.828266;2.142621;2.712073
1870;2.566927;2.717788;2.384368;2.281866;2.484560
1880;2.893757;2.474012;2.648849;2.725824;2.580111
1890;2.469389;2.454006;2.764748;3.073936;2.374663
1900;2.484176;2.163381;2.604969;2.382653;2.568989
1910;2.364640;2.568764;2.381188;2.462253;2.443936
1920;2.325043;2.484147;2.311665;2.651784;2.588673
1930;2.491890;2.624997;2.673451;2.685732;2.459703
1940;2.519023;2.703257;2.434768;2.332266;2.524689
1950;2.415875;2.864287;2.708126;2.601373;2.354323
1960;2.443630;2.285236;2.659791;2.709698;2.256317
1970;2.458111;2.602732;2.577142;2.257239;2.379422
1980;2.435430;2.363249;2.396510;2.322043;2.441847
1990;2.415706;2.494849;2.240570;2.486099;2.630704
2000;2.603273;2.309628;2.192070;2.520959;2.323267
2010;2.428511;2.435256;2.781760;2.540210;2.326416
2020;2.560223;2.611943;1.925420;2.476875;2.407012
2030;2.428670;2.390748;2.520716;2.203763;2.153436
2040;2.515414;2.425704;2.414147;2.489560;2.296295
2050;2.655214;2.446633;2.239886;2.474513;2.139216
2060;2.308349;2.437407;2.296638;2.237365;2.246207
2070;2.355779;2.245470;1.885064;2.328706;2.649851
2080;2.208856;2.412758;2.280788;2.113953;2.486922
2090;2.237725;2.238039;2.340761;2.421143;2.316534
2100;2.177286;2.187650;2.536730;2.375933;2.386463
2110;2.302990;2.217031;2.397204;2.197611;2.225111
2120;2.395343;2.236795;1.989986;2.295134;2.339762
2130;2.208634;2.476152;2.196710;2.498591;2.220157
2140;2.203963;2.465990;2.379327;2.213206;2.304135
2150;2.360157;1.987267;1.905897;2.454057;2.454916
2160;2.294946;2.358277;2.181349;2.457032;2.196068
2170;2.295190;2.471956;2.362970;2.200433;2.619840
2180;2.552009;2.448674;2.084274;2.049812;2.325342
2190;2.360185;2.230095;2.442930;2.380168;2.478793
2200;2.322159;2.591299;2.312213;2.670936;1.908640
2210;2.576673;2.476007;2.199312;1.774051;1.874731
2220;2.176653;2.304955;1.742865;2.220568;2.347184
