Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD]
2140;4.063531;4.020049;3.896952
2150;3.897918;3.892589;4.208158
2160;3.804890;3.933557;3.967913
2170;3.911106;4.050469;4.076399
2180;4.028267;3.971698;3.845672
2190;3.976978;3.970236;3.865371
2200;3.793360;4.090707;3.966956
2210;3.705834;3.886481;4.135793
2220;3.944715;3.869869;3.957779
2230;3.832810;3.889148;3.829500
2240;3.994956;3.905233;3.979503
2250;3.816228;4.064724;4.189976
2260;3.770111;4.099852;4.020615
2270;3.812251;3.906964;4.205600
2280;3.981360;4.006633;3.701113
2290;4.111828;4.021009;4.079979
2300;3.643543;3.942758;4.107050
2310;4.123162;3.996555;3.879685
2320;3.975025;3.756876;4.076680
2330;4.059455;4.153624;3.818385
2340;3.895230;3.898246;4.128069
2350;3.891248;3.981901;3.872038
2360;3.889663;3.978108;4.022732
2370;3.886596;3.931663;3.647959
2380;4.077497;4.033073;3.962349
2390;3.888845;3.870747;3.702501
2400;4.016674;3.769547;4.128784
2410;3.971615;3.710421;4.049834
2420;3.901812;3.874241;3.780995
2430;3.745665;3.814517;3.745384
2440;3.901388;4.128163;4.002206
2450;3.949716;3.929032;3.948835
2460;3.812450;3.682245;3.782189
2470;3.634837;4.217723;3.612215
2480;3.821486;3.622795;3.820132
2490;3.995678;4.119593;3.862927
2500;3.781060;3.818616;3.766746
2510;3.954590;3.731290;3.817137
2520;3.979596;3.816680;3.869275
2530;4.158196;4.029344;4.192856
2540;4.043362;3.822101;3.795365
2550;3.883485;3.410431;3.471637
2560;4.069817;3.832135;3.616022
2570;3.733166;3.810954;3.881487
2580;3.943573;3.824763;3.582536
2590;3.903350;3.977661;3.693038
2600;3.969615;3.626950;3.859236
2610;4.001861;3.998230;3.927541
2620;3.815599;4.021933;3.900570
2630;3.821848;4.091209;3.723221
2640;3.885965;4.146947;3.902067
2650;3.582205;3.860589;3.742372
2660;3.941683;3.825529;3.554957
2670;3.912830;3.640088;4.089520
2680;3.825810;3.891970;3.849699
2690;3.822538;3.839163;3.685480
2700;3.888763;3.967934;3.740923
2710;3.619175;3.675100;3.795401
2720;3.488083;3.572447;3.614476
2730;3.913925;3.812659;3.769873
2740;3.770248;3.726862;3.719076
2750;3.727746;3.931862;3.885085
2760;3.701598;3.946732;4.013545
2770;3.759884;3.772295;3.832033
2780;3.680576;3.976423;3.814244
2790;3.714842;3.871773;3.803789
2800;4.180357;3.634608;3.969882
2810;3.982367;3.865940;3.921409
2820;3.847493;3.879766;3.833270
2830;4.041491;3.785519;3.891310
2840;3.811182;4.211024;4.329575
2850;3.741537;3.808316;3.725296
2860;3.676782;3.793413;3.515524
2870;3.735381;3.672410;3.818190
2880;3.905580;3.597076;3.829554
2890;3.782818;3.637190;3.445026
2900;3.889716;3.792878;3.985062
2910;3.857624;3.704942;3.647451
2920;3.425658;4.048801;3.613104
2930;3.659702;4.070034;3.664229
2940;3.828919;3.885105;3.965150
2950;3.669104;3.504155;4.028195
2960;3.751943;4.031127;3.798542
2970;3.629317;3.539147;3.957451
2980;3.969074;3.949525;3.864384
2990;3.930392;3.858411;3.555373
3000;3.755018;3.736719;3.691599
3010;3.813650;3.648062;3.960010
3020;3.744671;4.006467;3.720615
3030;3.450716;3.874107;4.104358
3040;3.793308;3.742075;3.532913
3050;3.901515;3.817216;3.683809
3060;4.064376;3.534381;3.901335
3070;3.936740;3.537019;3.972168
3080;3.916890;3.767367;3.872208
3090;3.999376;3.709813;3.642954
3100;3.935821;3.885879;3.445135
3110;4.022926;3.727576;3.769348
3120;3.537539;3.991770;4.094370
3130;3.646523;3.754222;3.892251
3140;3.600827;3.839038;3.845587
3150;3.588157;3.457832;3.640516
3160;3.796078;3.597837;3.420726
3170;3.714172;3.907919;4.129825
3180;3.585951;3.664480;3.808434
3190;3.829972;3.881183;3.636446
3200;3.492997;3.903092;3.633250
3210;3.842965;3.729530;3.817376
3220;3.775103;3.890727;3.899654
3230;3.847349;3.804951;3.564792
3240;3.889337;3.730461;3.715207
3250;3.640033;3.954250;3.489433
3260;3.883203;3.624195;3.774966
3270;3.578311;3.564083;3.487302
3280;3.973028;3.761816;3.658075
3290;4.250450;3.320519;3.761237
3300;3.947407;3.250946;3.696104
3310;3.650435;3.638369;3.788277
3320;3.594598;3.828912;3.957442
3330;3.741561;3.748405;3.805095
3340;3.807552;3.656594;4.018247
3350;3.989303;3.859710;3.839185
3360;3.657621;3.913943;3.757418
3370;3.533369;3.863816;3.560832
3380;3.864266;3.777565;3.486366
3390;3.747868;3.697904;3.776060
3400;3.873249;3.700192;3.606515
3410;3.553758;3.654428;3.815653
3420;3.790347;3.532807;4.026219
3430;3.970592;3.350643;3.658774
3440;3.755825;3.866615;3.775636
3450;3.570313;4.029697;3.353513
3460;3.683123;3.147133;3.663126
3470;3.945527;3.666563;3.797204
3480;3.435010;3.398652;3.312723
3490;3.765449;3.961163;3.919042
3500;3.793861;3.763118;3.733679
3510;3.985069;3.788845;3.705244
3520;3.828953;3.929179;3.959548
3530;3.779265;3.803606;3.766522
3540;3.312079;3.670659;3.481890
3550;3.772935;3.481373;3.887103
3560;3.776027;3.927105;3.450990
3570;3.400685;3.637450;3.706507
3580;3.612643;3.949201;3.555563
3590;3.866199;3.644603;3.848505
3600;3.398269;3.852695;3.584237
3610;3.805968;3.703488;3.702318
3620;3.784490;3.728560;3.792238
3630;3.310470;3.699988;3.627061
3640;3.844011;3.845017;4.064668
3650;3.829038;3.782752;3.783899
3660;3.690936;3.402927;3.862134
3670;3.806493;3.684041;3.754404
3680;3.788974;3.650469;3.913865
3690;3.714083;4.029100;3.610496
3700;3.657260;4.194408;3.808168
3710;3.562827;3.718350;3.748865
3720;3.795856;3.809539;3.770439
3730;4.124369;3.763456;3.958146
3740;3.806853;3.568517;3.727235
3750;3.807039;3.849632;3.716179
3760;3.792809;4.314092;3.405619
3770;3.735564;3.619841;3.663058
3780;3.516087;4.009178;3.468877
3790;3.756110;3.681986;3.926862
3800;3.583380;3.756255;3.645423
3810;3.580522;3.857214;3.694187
3820;3.709179;3.836164;3.739794
3830;3.675441;3.572889;3.693217
3840;3.549459;3.476067;3.733670
3850;3.740368;3.889685;3.852972
3860;3.443063;3.708143;3.876083
3870;3.591418;3.546580;3.381658
3880;3.953807;3.719518;3.769159
3890;3.756072;3.728340;3.635918
3900;3.630764;3.735499;3.772954
3910;3.867070;3.811795;3.525489
3920;3.467050;3.994893;3.929426
